,jurisdiction,district type,num of districts,max abs difference,mean difference,mean abs difference,standard deviation,abs standard deviation,max blocks per dist,max pop blocks per dist,max pop per dist 2010,mean blocks per dist,mean pop blocks per dist,mean pop per dist 2010,num of blocks,num of pop blocks,pct blocks populated,state,stdev pop per dist 2010,total map pop 2010
26,Lockhart ISD,School Districts,4,1.3888888888888888,0.3336833525848516,1.0461620514209362,1.0495605032237565,0.34419005198626795,469.0,231.0,5836.0,284.25,158.25,5666.25,1137.0,633.0,55.67282321899736,TX,156.4199076204816,22665.0
27,Luling,City,5,4.131455399061033,-0.5587425116788877,1.946964706616648,2.3382172478409853,1.4102416543441954,103.0,69.0,1099.0,89.4,55.4,1082.2,447.0,277.0,61.96868008948546,TX,11.124747188138704,5411.0
28,Dimmitt City,City,7,3.7453183520599254,-0.4978483027318097,1.7746811003886585,2.1981767642204777,1.3893671261459493,552.0,119.0,801.0,156.28571428571428,51.0,788.2857142857143,1094.0,357.0,32.63254113345521,TX,7.553888037944164,5518.0
29,McKinney ISD,School District,5,0.474158368895211,0.02287484096337141,0.2287333938641277,0.2736920099788354,0.1520250282248035,768.0,511.0,23199.0,473.6,289.2,22203.4,2368.0,1446.0,61.064189189189186,TX,602.8763057211653,111017.0
30,Concho Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,6.991869918699186,1.688601934252989,4.725314097651809,4.8128562489283055,1.9199917822074761,352.0,91.0,644.0,301.0,83.75,632.75,1204.0,335.0,27.823920265780732,TX,10.848386976873567,2531.0
31,Ralls ISD,School District,5,6.595744680851063,0.5135244722076785,5.096846118164313,5.2330962420816896,1.29273481820482,350.0,91.0,478.0,132.0,54.2,466.8,660.0,271.0,41.060606060606055,TX,6.43117407632541,2334.0
32,Dawson Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,2.557108762359359,0.022792328126171157,1.318313115820951,1.618989037141742,0.9400508078082865,889.0,289.0,2956.0,704.25,223.75,2940.25,2817.0,895.0,31.771388001419947,TX,12.028611723719408,11761.0
33,Spur,City,3,10.882352941176471,-0.4736376525482342,7.728539613332548,8.035781933281449,2.2511773253818803,62.0,34.0,340.0,46.333333333333336,29.333333333333332,335.3333333333333,139.0,88.0,63.30935251798561,TX,4.642796092394707,1006.0
34,Ector Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,0.25909821907201147,-0.004901149068998599,0.21760396129328272,0.22136451233864354,0.04092413242322366,1807.0,1040.0,35035.0,1154.0,732.5,34282.5,4616.0,2930.0,63.47487001733102,TX,578.7384988058078,137130.0
35,Houston Comm Coll Dist,Community College,9,0.47802018188346385,0.14016034917355666,0.19941403520778023,0.18653113458070847,0.12113145838538349,5553.0,3018.0,196070.0,3656.777777777778,2079.1111111111113,189009.22222222222,32911.0,18712.0,56.856370210567896,TX,4438.5477048686835,1701083.0
36,Gaines Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,0.8912655971479502,0.033142289056646346,0.6496179122319881,0.6822932622015468,0.21123227754511384,1124.0,261.0,4488.0,739.5,202.75,4381.5,2958.0,811.0,27.417173766058145,TX,68.75499981819505,17526.0
37,Galviston Cons/JP,Cons/JP,5,0.4137360364087712,0.11568528837922099,0.2981463151498983,0.2888233715198118,0.08894268180121559,4294.0,2582.0,88852.0,1919.0,1173.0,58261.8,9595.0,5865.0,61.12558624283481,TX,34787.45873098522,291309.0
38,Galviston Comm Ct,Commissioners Court,4,0.6481366072541443,-0.0032580291373365683,0.384047442584678,0.4283487153423651,0.18973876391892822,3620.0,2241.0,73462.0,2398.75,1466.25,72827.25,9595.0,5865.0,61.12558624283481,TX,506.40219934356526,291309.0
39,Guadalupe Groundwater Dists,Groundwater,7,2.3674911660777385,0.6417183490590984,1.0567645323712396,1.1527451819982617,0.7898560737637809,581.0,195.0,6009.0,236.42857142857142,135.57142857142858,5798.714285714285,1655.0,949.0,57.34138972809668,TX,127.61405462869483,40591.0
40,Hale Comm Ct/Cons/JP,Comm Ct/Cons/JP,2,0.2215770171149144,0.059006745153041634,0.16257027196187276,0.16257027196187276,0.059006745153041634,1762.0,895.0,21243.0,1732.0,851.0,17165.5,3464.0,1702.0,49.13394919168591,TX,4077.5,34331.0
41,Plainview ISD,School District,7,3.263871453678132,-0.19588956367190496,1.4575718872978756,1.7142392095216223,0.9232946344346397,595.0,246.0,3986.0,267.42857142857144,145.42857142857142,3863.285714285714,1872.0,1018.0,54.380341880341874,TX,85.32913467561825,27043.0
42,Harris Comm Ct,Commissioners Court,4,0.13712523516291225,0.0014328513925934705,0.10587329601938095,0.10841133218500765,0.023364828251751946,24148.0,11812.0,1051201.0,18851.5,9891.75,1023114.75,75406.0,39567.0,52.47195183407156,TX,18240.06497212935,4092459.0
43,Kyle City,City,3,1.3468938977460143,-0.3918906504509682,0.9181718161637503,0.8867066441947483,0.3111068478393807,181.0,142.0,10914.0,151.66666666666666,113.33333333333333,9712.0,455.0,340.0,74.72527472527473,TX,1191.6744521890196,29136.0
44,Hockley Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,1.810829817158931,-0.008760579962375725,0.8966543286170898,1.075208414606473,0.5934314598789641,1547.0,353.0,5788.0,1073.75,332.0,5733.75,4295.0,1328.0,30.919674039580908,TX,35.611620294504995,22935.0
45,Howard Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,2.2902832362108687,0.0682968604275741,1.3529548218760858,1.538169630119589,0.7349445707866317,930.0,395.0,7526.0,679.75,301.5,7356.75,2719.0,1206.0,44.354542111070245,TX,139.8470146266984,29427.0
46,Karnes Comm Ct,Commissioners Court,4,0.8849557522123894,0.06548572709002945,0.4478387660902,0.5421883358652212,0.312565211736071,441.0,229.0,3093.0,377.0,209.5,2890.0,1508.0,838.0,55.57029177718833,TX,117.22201158485551,11560.0
47,Kleberg Comm Ct,Commissioners Court,4,1.4126765845730715,0.007059582562689903,0.8015651116492369,0.91795645444427,0.44742291151504626,0.0,0.0,8310.0,0.0,0.0,8015.25,4.0,4.0,100.0,TX,179.6682707102175,32061.0
48,Waco ISD,School District,5,0.5521650682941005,-0.2527351079926464,0.3621191033870045,0.29234936955535795,0.13495533947814686,721.0,516.0,20844.0,554.6,406.8,20551.4,2773.0,2034.0,73.35016227912008,TX,199.63927469313245,102757.0
49,Moore Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,1.0435737824972537,-0.04268510374346775,0.6690439003850434,0.7577084670117059,0.35822395009321784,661.0,199.0,5637.0,480.5,158.5,5476.0,1922.0,634.0,32.98647242455775,TX,130.78799639110616,21904.0
50,Daingerfield-Lone Star ISD,School District,5,2.8901734104046244,0.042537098570276946,1.2982328637283909,1.5943107921681992,0.9264058172930209,163.0,84.0,1751.0,128.6,70.4,1702.8,643.0,352.0,54.74339035769829,TX,52.84467806695391,8514.0
51,Sweetwater,City,4,2.04828090709583,-0.14891940083457833,0.8752210527133367,1.1632291348770694,0.7805556463565835,369.0,211.0,2777.0,196.5,131.25,2726.5,786.0,525.0,66.79389312977099,TX,33.737960815674676,10906.0
52,Ochiltree Comm Ct,Commissioners Court,4,1.9238319591676483,0.03360166079725002,1.2035797533127244,1.3087837529486097,0.5152084636399744,264.0,146.0,2578.0,224.0,124.75,2555.75,896.0,499.0,55.69196428571429,TX,13.5531361684298,10223.0
53,Reagan Hospital Dist,Hospital,4,3.587962962962963,0.21283425921272664,2.0068157406942078,2.209724295314574,0.9491419630909163,444.0,76.0,864.0,295.75,61.75,841.75,1183.0,247.0,20.87912087912088,TX,22.18529918662356,3367.0
54,Sterling ISD,School Districts,5,9.210526315789473,-0.687830463847971,4.9079178000925126,5.611330002602354,2.8057936511150845,558.0,40.0,231.0,200.0,29.0,228.6,1000.0,145.0,14.499999999999998,TX,2.0591260281974,1143.0
55,Sonora IDS,School Districts,4,2.3032629558541267,-0.17605825823437043,1.703629585785494,1.7898439259041823,0.576354078518546,397.0,74.0,1064.0,306.0,67.75,1032.0,1224.0,271.0,22.14052287581699,TX,24.48468909339059,4128.0
56,Tulia City,City,4,3.2169117647058822,-0.7646730847999731,2.1345360984986033,2.3077110004503663,1.1636196253172677,95.0,67.0,1095.0,65.25,48.75,1090.0,261.0,195.0,74.71264367816092,TX,4.301162633521313,4360.0
57,Terry Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,3.3367381681988424,-0.05047632835630622,2.02146814278525,2.2997921641327865,1.097842614237238,738.0,204.0,2974.0,572.0,182.25,2946.25,2288.0,729.0,31.86188811188811,TX,21.370248009791556,11785.0
58,Titus Comm Ct/Cons/JP,Comm Ct/Cons/JP,2,0.14884644008930786,-0.0414634309873039,0.10738300910200396,0.10738300910200396,0.0414634309873039,1100.0,624.0,24272.0,832.0,426.5,16167.0,1664.0,853.0,51.262019230769226,TX,8105.0,32334.0
59,Austin ISD,School Districts,7,0.5587892898719441,0.1243264127553901,0.2487507511682046,0.25870774825660964,0.14321249844159162,1549.0,1016.0,94490.0,1244.0,885.1428571428571,90847.28571428571,8708.0,6196.0,71.15296279283417,TX,2592.121123398239,635931.0
60,Upton Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,8.92018779342723,0.29963195143505894,5.362135486702892,6.277055272596526,3.2769963722583193,848.0,105.0,852.0,526.5,77.5,838.75,2106.0,310.0,14.719848053181387,TX,8.98262211161084,3355.0
61,Victoria Groundwater Dist,Groundwater,4,0.504938654382779,-0.015446571628248806,0.26040581687352743,0.31525294479919413,0.1783587012681503,1190.0,692.0,22577.0,836.25,477.75,21596.0,3345.0,1911.0,57.13004484304933,TX,571.2989585147167,86384.0
62,Wharton City,City,4,1.724941724941725,0.06982019107806253,0.7926506713927999,0.9931722900293393,0.6024707212013234,247.0,92.0,2271.0,141.0,69.5,2208.0,564.0,278.0,49.29078014184397,TX,56.87266478722445,8832.0
