,jurisdiction,district type,num of districts,num of blocks,mean blocks per dist,max blocks per dist,num of pop blocks,pct blocks populated,mean pop blocks per dist,max pop blocks per dist,max abs difference,mean abs difference,mean difference,abs standard deviation,standard deviation,total map pop 2010,mean pop per dist 2010,max pop per dist 2010,stdev pop per dist 2010
26,Hale Comm Ct/Con/JP,Comm Ct/Con/JP,2,3464,1732.0,1762,1702,49.13394919168591,851.0,895,0.2215770171149144,0.16257027196187276,0.059006745153041634,0.059006745153041634,0.16257027196187276,34331.0,17165.5,21243.0,4077.5
27,Plainview ISD,School District,7,1872,267.42857142857144,595,1018,54.380341880341874,145.42857142857142,246,3.263871453678132,1.4575718872978756,-0.19588956367190496,0.9232946344346397,1.7142392095216223,27043.0,3863.285714285714,3986.0,85.32913467561825
28,Harris Comm Ct,Commissioners Court,4,75406,18851.5,24148,39567,52.47195183407156,9891.75,11812,0.13712523516291225,0.10587329601938095,0.0014328513925934705,0.023364828251751946,0.10841133218500765,4092459.0,1023114.75,1051201.0,18240.06497212935
29,Kyle City,City,3,455,151.66666666666666,181,340,74.72527472527473,113.33333333333333,142,1.3468938977460143,0.9181718161637503,-0.3918906504509682,0.3111068478393807,0.8867066441947483,29136.0,9712.0,10914.0,1191.6744521890196
30,Hockley Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,4295,1073.75,1547,1328,30.919674039580908,332.0,353,1.810829817158931,0.8966543286170898,-0.008760579962375725,0.5934314598789641,1.075208414606473,22935.0,5733.75,5788.0,35.611620294504995
31,Howard Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,2719,679.75,1963,1206,44.354542111070245,603.0,1006,inf,,,,,29427.0,7356.75,26089.0,10900.585795612087
32,Karnes Comm Ct,Commissioners Court,4,1508,377.0,441,838,55.57029177718833,209.5,229,0.8849557522123894,0.4478387660902,0.06548572709002945,0.312565211736071,0.5421883358652212,11560.0,2890.0,3093.0,117.22201158485551
33,Kleberg Comm Ct,Commissioners Court,4,1508,377.0,441,838,55.57029177718833,209.5,229,0.8849557522123894,0.4478387660902,0.06548572709002945,0.312565211736071,0.5421883358652212,11560.0,2890.0,3093.0,117.22201158485551
34,Waco ISD,School District,5,2773,554.6,721,2034,73.35016227912008,406.8,516,0.5521650682941005,0.3621191033870045,-0.2527351079926464,0.13495533947814686,0.29234936955535795,102757.0,20551.4,20844.0,199.63927469313245
35,Moore Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,1922,480.5,661,634,32.98647242455775,158.5,199,1.0435737824972537,0.6690439003850434,-0.04268510374346775,0.35822395009321784,0.7577084670117059,21904.0,5476.0,5637.0,130.78799639110616
36,Daingerfield-Lone Star ISD,School District,5,643,128.6,163,352,54.74339035769829,70.4,84,2.8901734104046244,1.2982328637283909,0.042537098570276946,0.9264058172930209,1.5943107921681992,8514.0,1702.8,1751.0,52.84467806695391
37,Sweetwater,City,4,786,196.5,369,525,66.79389312977099,131.25,211,2.04828090709583,0.8752210527133367,-0.14891940083457833,0.7805556463565835,1.1632291348770694,10906.0,2726.5,2777.0,33.737960815674676
38,Ochiltree Comm Ct,Commissioners Court,4,896,224.0,264,499,55.69196428571429,124.75,146,1.9238319591676483,1.2035797533127244,0.03360166079725002,0.5152084636399744,1.3087837529486097,10223.0,2555.75,2578.0,13.5531361684298
39,Reagan Hospital Dist,Hospital,4,1183,295.75,444,247,20.87912087912088,61.75,76,3.587962962962963,2.0068157406942078,0.21283425921272664,0.9491419630909163,2.209724295314574,3367.0,841.75,864.0,22.18529918662356
40,Sterling ISD,School Districts,5,1000,200.0,558,145,14.499999999999998,29.0,40,9.210526315789473,4.9079178000925126,-0.687830463847971,2.8057936511150845,5.611330002602354,1143.0,228.6,231.0,2.0591260281974
41,Sonora IDS,School Districts,4,1224,306.0,397,271,22.14052287581699,67.75,74,2.3032629558541267,1.703629585785494,-0.17605825823437043,0.576354078518546,1.7898439259041823,4128.0,1032.0,1064.0,24.48468909339059
42,Tulia City,City,4,261,65.25,95,195,74.71264367816092,48.75,67,3.2169117647058822,2.1345360984986033,-0.7646730847999731,1.1636196253172677,2.3077110004503663,4360.0,1090.0,1095.0,4.301162633521313
43,Terry Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,2288,572.0,738,729,31.86188811188811,182.25,204,3.3367381681988424,2.02146814278525,-0.05047632835630622,1.097842614237238,2.2997921641327865,11785.0,2946.25,2974.0,21.370248009791556
44,Titus Comm Ct/Cons/JP,Comm Ct/Cons/JP,2,1664,832.0,1100,853,51.262019230769226,426.5,624,0.14884644008930786,0.10738300910200396,-0.0414634309873039,0.0414634309873039,0.10738300910200396,32334.0,16167.0,24272.0,8105.0
45,Austen ISD,School Districts,7,8708,1244.0,1549,6196,71.15296279283417,885.1428571428571,1016,0.5587892898719441,0.2487507511682046,0.1243264127553901,0.14321249844159162,0.25870774825660964,635931.0,90847.28571428571,94490.0,2592.121123398239
46,Upton Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,2106,526.5,848,310,14.719848053181387,77.5,105,8.92018779342723,5.362135486702892,0.29963195143505894,3.2769963722583193,6.277055272596526,3355.0,838.75,852.0,8.98262211161084
47,Victoria Groundwater Dist,Groundwater,4,3345,836.25,1190,1911,57.13004484304933,477.75,692,0.504938654382779,0.26040581687352743,-0.015446571628248806,0.1783587012681503,0.31525294479919413,86384.0,21596.0,22577.0,571.2989585147167
48,Wharton City,City,4,564,141.0,247,278,49.29078014184397,69.5,92,1.724941724941725,0.7926506713927999,0.06982019107806253,0.6024707212013234,0.9931722900293393,8832.0,2208.0,2271.0,56.87266478722445
